step,original_step,time,ppo_hvac_kwh,grpo_hvac_kwh,ppo_pv_kwh,grpo_pv_kwh,ppo_net_grid_kwh,grpo_net_grid_kwh,ppo_reward,grpo_reward,ppo_mean_setpoint_c,grpo_mean_setpoint_c,ppo_pmv_violation,grpo_pmv_violation
1,1,07:05,8.868,8.8256,0.9044,0.9044,7.9636,7.9212,-0.23890839999999997,-0.2376348666666667,24.075,26.0,0.0,0.0
2,2,07:12,9.3181,9.0157,0.8635,0.8635,8.4546,8.1521,-0.2536384,-0.2445637333333333,23.7875,26.25,0.0,0.0
3,3,07:23,9.2588,9.107,0.8146,0.8146,8.4442,8.2924,-0.25332726666666666,-0.24877073333333333,23.900000000000002,26.0,0.0,0.0
4,4,07:35,9.5413,9.1346,0.7409,0.7409,8.8004,8.3937,-0.2640126666666667,-0.2518122,23.7875,26.125,0.0,0.0
5,5,07:45,9.6654,9.1413,0.9313,0.9313,8.7341,8.21,-0.26202213333333335,-0.2462988,23.6875,24.875,0.0,0.0
6,6,07:55,9.4386,9.1433,1.1219,1.1219,8.3167,8.0214,-0.24950178333333334,-0.24064338333333332,23.7875,26.0,0.0,0.0
7,7,08:05,9.6034,9.1259,1.3125,1.3125,8.2909,7.8134,-0.24872700000000003,-0.23440306666666666,23.675,25.0,0.0,0.0
8,8,08:10,9.6006,10.4692,1.5032,1.5032,8.0974,8.966,-0.24292255000000001,-0.26897861666666667,23.762500000000003,23.5,0.0,0.0
9,9,08:20,9.6871,8.9489,1.694,1.694,7.9931,7.255,-0.23979340000000002,-0.21764906666666664,23.675,25.75,0.0,0.0
10,10,08:35,9.6864,9.1033,1.8845,1.8845,7.8019,7.2188,-0.23405783333333333,-0.21656543333333333,23.725,25.0,0.0,0.0
11,11,08:45,9.9142,9.2186,2.6524,2.6524,7.2618,6.5662,-0.2178546,-0.19698620000000003,23.675,24.75,0.0,0.0
12,12,08:55,9.9833,9.2369,3.4442,3.4442,6.5391,5.7927,-0.19617436666666666,-0.1737807,23.625000000000004,24.75,0.0,0.0
13,13,09:03,10.1204,9.3119,4.2647,4.2647,5.8557,5.0473,-0.1756716,-0.15141759999999999,23.562500000000004,25.6875,0.0,0.0
14,14,09:13,10.0488,9.2964,5.1379,5.1379,4.9109,4.1586,-0.14732833333333334,-0.12475666666666665,23.5375,25.625,0.0,0.0
15,15,09:22,10.0699,9.6138,6.0153,6.0153,4.0545,3.5984,-0.12163513333333334,-0.1079524,23.6,24.5,0.0,0.0
16,16,09:32,10.3387,9.2605,6.914,6.914,3.4247,2.3464,-0.10274078333333332,-0.07039298333333333,23.4375,25.5625,0.0,0.0
17,17,09:42,10.2815,10.7602,6.3912,6.3912,3.8903,4.369,-0.11670838333333333,-0.13106931666666666,23.500000000000007,24.0,0.0,0.0
18,18,09:53,10.4668,9.2343,5.8417,5.8417,4.6251,3.3926,-0.13875328333333334,-0.10177688333333333,23.4125,25.400000000000002,0.0,0.0
19,19,10:03,10.18,10.0355,5.2672,5.2672,4.9128,4.7683,-0.14738293333333333,-0.14305006666666667,23.587500000000002,24.4125,0.0,0.0
20,20,10:15,10.3918,10.5339,4.6346,4.6346,5.7572,5.8993,-0.17271533333333333,-0.17697853333333335,23.512500000000003,24.0,0.0,0.0
21,21,10:25,10.3695,9.3321,4.0156,4.0156,6.3539,5.3166,-0.19061826666666665,-0.1594966,23.587500000000002,25.25,0.0,0.0
22,22,10:35,10.3873,10.785,3.3555,3.3555,7.0318,7.4295,-0.2109525166666667,-0.22288525,23.550000000000004,24.125,0.0,0.0
23,23,10:45,10.3643,9.4283,3.6075,3.6075,6.7568,5.8207,-0.2027035,-0.17462143333333333,23.637500000000003,25.25,0.0,0.0
24,24,10:55,10.5522,9.5629,3.8608,3.8608,6.6914,5.7021,-0.2007426,-0.1710642666666667,23.512500000000003,25.45,0.0,0.0
25,25,11:05,10.4249,9.6778,4.1152,4.1152,6.3097,5.5626,-0.18929226666666665,-0.166878,23.625000000000004,25.375,0.0,0.0
26,26,11:15,10.4302,11.9061,4.3706,4.3706,6.0596,7.5355,-0.1817869,-0.22606483333333333,23.525000000000002,23.5,0.0,0.0
27,27,11:25,10.4151,9.2934,4.6268,4.6268,5.7883,4.6666,-0.17364968333333333,-0.13999768333333332,23.6,25.35,0.0,0.0
28,28,11:35,10.5469,9.4884,4.8836,4.8836,5.6633,4.6048,-0.16989913333333334,-0.13814333333333334,23.5375,25.45,0.0,0.0
29,29,11:45,10.5733,9.7934,4.8502,4.8502,5.7231,4.9432,-0.17169201666666667,-0.14829621666666667,23.6,24.8,0.0,0.0
30,30,11:55,10.6721,9.7209,4.8155,4.8155,5.8566,4.9054,-0.17569735000000003,-0.14716181666666667,23.5375,25.25,0.0,0.0
31,31,12:05,10.6999,9.8593,4.7801,4.7801,5.9198,5.0792,-0.1775934,-0.152375,23.6,25.25,0.0,0.0
32,32,12:15,10.7729,10.0537,4.7443,4.7443,6.0287,5.3094,-0.18086075000000001,-0.15928295,23.5375,25.2375,0.0,0.0
33,33,12:25,10.7708,10.0754,4.708,4.708,6.0628,5.3674,-0.18188276666666667,-0.16102083333333334,23.6,25.212500000000002,0.0,0.0
34,34,12:35,10.8424,11.6337,4.6716,4.6716,6.1708,6.9621,-0.18512378333333335,-0.20886425,23.5375,24.25,0.0,0.0
35,35,12:45,10.8417,9.5675,4.8492,4.8492,5.9925,4.7182,-0.17977358333333332,-0.14154738333333336,23.6,24.75,0.0,0.0
36,36,12:55,10.9196,10.5303,5.0266,5.0266,5.8931,5.5038,-0.1767922666666667,-0.1651136,23.5375,24.75,0.0,0.0
