method,date,weather,hvac_kwh,mean_setpoint_c,pmv_violation_sum,relative_day_return
Baseline 23C,2025-08-25,normal,897.41,23.0,0.0,0.0
PPO,2025-08-25,normal,884.6537,23.391,0.0,0.3827128166666678
GRPO,2025-08-25,normal,875.6,24.020138888888876,0.23,0.5393280333333355
Baseline 23C,2025-08-26,swap27,840.39,23.0,0.0,0.0
PPO,2025-08-26,swap27,830.3303,23.3863,0.0,0.30168851666666613
GRPO,2025-08-26,swap27,820.87,24.02152777777778,0.0,0.5856164499999994
Baseline 23C,2025-08-27,swap27,717.06,23.0,0.0,0.0
PPO,2025-08-27,swap27,699.856,23.6288,0.0,0.5162268000000019
GRPO,2025-08-27,swap27,677.11,24.85052083333336,0.0,1.198498199999996
Baseline 23C,2025-08-28,swap27,764.1,23.0,0.025,0.0
PPO,2025-08-28,swap27,757.7666,23.4427,0.005,0.19996454999999905
GRPO,2025-08-28,swap27,739.82,24.515625,0.005,0.7382305999999998
Baseline 23C,2025-08-29,swap27,774.94,23.0,0.0,0.0
PPO,2025-08-29,swap27,768.0825,23.4399,0.0,0.20574273333333432
GRPO,2025-08-29,swap27,747.7,24.41579861111111,0.53,0.5520855500000014
