source_api,time_utc,time_local,time_local_standard,temperature_2m,dew_point_2m,relative_humidity_2m,pressure_msl,surface_pressure,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,wind_speed_10m,wind_direction_10m,wind_gusts_10m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,precipitation,rain,snowfall,snow_depth,weather_code,wet_bulb_temperature_2m,total_column_integrated_water_vapour,is_day,sunshine_duration,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm
historical_weather_api,2025-06-01 05:00:00,2025-06-01 00:00:00,2025-05-31 23:00:00,23.5,22.0,92,1013.6,1011.3,0.0,0.0,0.0,0.87,204,2.4,92,0,0,92,,0.0,0.0,0.0,0.0,3,22.4,32.5,0,0.0,25.6,27.2,25.0,21.2
historical_weather_api,2025-06-01 06:00:00,2025-06-01 01:00:00,2025-06-01 00:00:00,23.3,22.0,92,1013.5,1011.2,0.0,0.0,0.0,1.55,195,3.0,90,0,0,90,,0.0,0.0,0.0,0.0,3,22.3,32.7,0,0.0,25.0,27.1,25.0,21.2
historical_weather_api,2025-06-01 07:00:00,2025-06-01 02:00:00,2025-06-01 01:00:00,23.0,21.9,94,1013.2,1010.9,0.0,0.0,0.0,2.09,197,4.1,86,0,0,86,,0.0,0.0,0.0,0.0,3,22.1,32.4,0,0.0,24.6,27.0,25.1,21.2
historical_weather_api,2025-06-01 08:00:00,2025-06-01 03:00:00,2025-06-01 02:00:00,22.6,21.8,95,1012.9,1010.6,0.0,0.0,0.0,1.97,204,4.1,2,0,0,2,,0.0,0.0,0.0,0.0,0,22.0,32.5,0,0.0,24.2,26.9,25.1,21.2
historical_weather_api,2025-06-01 09:00:00,2025-06-01 04:00:00,2025-06-01 03:00:00,22.5,21.9,96,1012.6,1010.3,0.0,0.0,0.0,1.82,212,3.9,0,0,0,0,,0.0,0.0,0.0,0.0,0,22.0,34.1,0,0.0,23.9,26.7,25.1,21.2
historical_weather_api,2025-06-01 10:00:00,2025-06-01 05:00:00,2025-06-01 04:00:00,22.5,21.9,96,1012.6,1010.3,0.0,0.0,0.0,1.48,225,3.5,10,0,0,10,,0.0,0.0,0.0,0.0,0,22.0,34.6,0,0.0,23.6,26.5,25.1,21.2
historical_weather_api,2025-06-01 11:00:00,2025-06-01 06:00:00,2025-06-01 05:00:00,22.4,21.8,97,1012.8,1010.5,0.0,0.0,0.0,1.45,226,2.8,10,0,0,10,,0.0,0.0,0.0,0.0,0,22.0,33.7,0,0.0,23.4,26.4,25.1,21.2
historical_weather_api,2025-06-01 12:00:00,2025-06-01 07:00:00,2025-06-01 06:00:00,22.6,22.0,96,1013.3,1011.0,15.0,62.2,10.0,1.52,229,2.7,0,0,0,0,,0.0,0.0,0.0,0.0,0,22.2,33.4,1,413.01,23.3,26.2,25.1,21.2
historical_weather_api,2025-06-01 13:00:00,2025-06-01 08:00:00,2025-06-01 07:00:00,24.5,23.4,93,1013.7,1011.4,129.0,262.5,70.0,1.84,227,4.4,97,97,0,0,,0.0,0.0,0.0,0.0,3,23.6,36.2,1,3600.0,23.9,26.2,25.1,21.2
historical_weather_api,2025-06-01 14:00:00,2025-06-01 09:00:00,2025-06-01 08:00:00,25.6,23.4,87,1014.0,1011.7,219.0,111.4,171.0,1.89,233,5.1,50,50,0,0,,0.0,0.0,0.0,0.0,2,24.0,36.9,1,1542.66,24.8,26.1,25.1,21.2
historical_weather_api,2025-06-01 15:00:00,2025-06-01 10:00:00,2025-06-01 09:00:00,27.4,23.5,80,1014.2,1011.9,490.0,474.0,196.0,1.19,255,5.0,19,14,6,0,,0.0,0.0,0.0,0.0,0,24.6,37.0,1,3600.0,26.4,26.1,25.1,21.2
historical_weather_api,2025-06-01 16:00:00,2025-06-01 11:00:00,2025-06-01 10:00:00,28.6,23.5,74,1013.9,1011.6,679.0,670.5,156.0,1.08,248,4.6,19,6,14,0,,0.0,0.0,0.0,0.0,0,24.9,36.7,1,3600.0,28.1,26.1,25.1,21.2
historical_weather_api,2025-06-01 17:00:00,2025-06-01 12:00:00,2025-06-01 11:00:00,29.5,23.2,69,1014.0,1011.7,757.0,672.6,152.0,0.86,234,4.6,18,3,15,0,,0.0,0.0,0.0,0.0,0,25.0,36.1,1,3600.0,29.6,26.2,25.1,21.2
historical_weather_api,2025-06-01 18:00:00,2025-06-01 13:00:00,2025-06-01 12:00:00,30.2,22.8,64,1013.2,1010.9,831.0,700.7,151.0,0.67,207,4.4,26,4,24,1,,0.1,0.1,0.0,0.0,51,24.9,36.3,1,3600.0,31.0,26.4,25.1,21.3
historical_weather_api,2025-06-01 19:00:00,2025-06-01 14:00:00,2025-06-01 13:00:00,30.9,22.7,62,1012.6,1010.3,814.0,632.6,189.0,0.25,53,4.3,30,8,24,1,,0.1,0.1,0.0,0.0,51,25.1,39.4,1,3600.0,32.2,26.6,25.1,21.3
historical_weather_api,2025-06-01 20:00:00,2025-06-01 15:00:00,2025-06-01 14:00:00,31.4,22.1,58,1011.8,1009.5,810.0,620.4,220.0,0.43,339,3.8,25,7,22,1,,0.0,0.0,0.0,0.0,1,24.9,40.5,1,3600.0,33.1,26.8,25.1,21.3
historical_weather_api,2025-06-01 21:00:00,2025-06-01 16:00:00,2025-06-01 15:00:00,31.3,21.7,57,1011.1,1008.8,714.0,647.4,156.0,0.46,77,3.9,20,7,14,0,,0.0,0.0,0.0,0.0,1,24.6,41.1,1,3600.0,33.5,27.0,25.1,21.3
historical_weather_api,2025-06-01 22:00:00,2025-06-01 17:00:00,2025-06-01 16:00:00,29.9,22.1,63,1010.4,1008.1,582.0,603.9,143.0,3.54,164,8.8,39,15,15,19,,0.0,0.0,0.0,0.0,1,24.4,41.8,1,3600.0,33.3,27.3,25.1,21.3
historical_weather_api,2025-06-01 23:00:00,2025-06-01 18:00:00,2025-06-01 17:00:00,29.0,22.7,69,1010.1,1007.8,390.0,475.5,126.0,2.99,170,9.6,24,3,5,19,,0.0,0.0,0.0,0.0,1,24.5,41.6,1,3600.0,32.5,27.5,25.1,21.3
historical_weather_api,2025-06-02 00:00:00,2025-06-01 19:00:00,2025-06-01 18:00:00,29.0,22.8,69,1010.0,1007.7,250.0,454.8,87.0,3.04,171,7.3,23,1,10,14,,0.0,0.0,0.0,0.0,1,24.5,45.5,1,3600.0,31.5,27.6,25.1,21.3
historical_weather_api,2025-06-02 01:00:00,2025-06-01 20:00:00,2025-06-01 19:00:00,27.2,23.8,81,1011.3,1009.0,76.0,246.6,39.0,2.12,172,5.8,35,8,5,27,,0.0,0.0,0.0,0.0,1,24.7,50.5,1,3600.0,30.2,27.8,25.1,21.3
historical_weather_api,2025-06-02 02:00:00,2025-06-01 21:00:00,2025-06-01 20:00:00,26.7,23.9,85,1011.5,1009.2,1.0,0.0,1.0,1.92,165,4.6,13,12,1,0,,0.0,0.0,0.0,0.0,0,24.6,48.2,0,0.0,29.1,27.8,25.1,21.3
historical_weather_api,2025-06-02 03:00:00,2025-06-01 22:00:00,2025-06-01 21:00:00,26.4,23.8,85,1012.1,1009.8,0.0,0.0,0.0,2.3,176,4.4,0,0,0,0,,0.0,0.0,0.0,0.0,0,24.4,46.1,0,0.0,28.2,27.8,25.1,21.3
historical_weather_api,2025-06-02 04:00:00,2025-06-01 23:00:00,2025-06-01 22:00:00,26.0,23.4,85,1012.7,1010.4,0.0,0.0,0.0,2.55,181,6.1,0,0,0,0,,0.0,0.0,0.0,0.0,0,24.1,42.4,0,0.0,27.5,27.8,25.1,21.3
historical_weather_api,2025-06-02 05:00:00,2025-06-02 00:00:00,2025-06-01 23:00:00,25.4,23.1,87,1012.8,1010.5,0.0,0.0,0.0,2.36,186,5.2,0,0,0,0,,0.0,0.0,0.0,0.0,0,23.7,38.2,0,0.0,26.9,27.7,25.1,21.3
historical_weather_api,2025-06-02 06:00:00,2025-06-02 01:00:00,2025-06-02 00:00:00,24.9,22.9,89,1012.7,1010.4,0.0,0.0,0.0,2.01,194,5.1,0,0,0,0,,0.0,0.0,0.0,0.0,0,23.4,38.0,0,0.0,26.3,27.6,25.1,21.3
historical_weather_api,2025-06-02 07:00:00,2025-06-02 02:00:00,2025-06-02 01:00:00,24.3,22.9,92,1013.5,1011.2,0.0,0.0,0.0,1.2,92,3.9,0,0,0,0,,0.0,0.0,0.0,0.0,0,23.2,41.7,0,0.0,25.8,27.5,25.1,21.3
historical_weather_api,2025-06-02 08:00:00,2025-06-02 03:00:00,2025-06-02 02:00:00,23.9,22.8,93,1012.7,1010.4,0.0,0.0,0.0,1.08,158,2.7,1,0,1,0,,0.0,0.0,0.0,0.0,0,23.0,40.8,0,0.0,25.3,27.4,25.1,21.3
historical_weather_api,2025-06-02 09:00:00,2025-06-02 04:00:00,2025-06-02 03:00:00,23.8,22.6,93,1012.3,1010.0,0.0,0.0,0.0,1.55,180,3.3,1,0,1,0,,0.0,0.0,0.0,0.0,0,22.9,40.6,0,0.0,24.9,27.2,25.1,21.3
historical_weather_api,2025-06-02 10:00:00,2025-06-02 05:00:00,2025-06-02 04:00:00,23.5,22.5,94,1012.8,1010.5,0.0,0.0,0.0,1.33,103,3.0,1,0,1,0,,0.0,0.0,0.0,0.0,0,22.8,40.7,0,0.0,24.5,27.1,25.1,21.3
historical_weather_api,2025-06-02 11:00:00,2025-06-02 06:00:00,2025-06-02 05:00:00,23.3,22.5,95,1013.1,1010.8,0.0,0.0,0.0,1.11,126,2.7,2,0,2,0,,0.0,0.0,0.0,0.0,0,22.7,40.7,0,0.0,24.2,27.0,25.1,21.3
historical_weather_api,2025-06-02 12:00:00,2025-06-02 07:00:00,2025-06-02 06:00:00,23.6,22.7,95,1013.8,1011.5,15.0,62.0,10.0,1.61,97,3.0,4,0,4,0,,0.0,0.0,0.0,0.0,0,22.9,40.3,1,409.1,24.1,26.9,25.1,21.3
historical_weather_api,2025-06-02 13:00:00,2025-06-02 08:00:00,2025-06-02 07:00:00,25.6,23.9,90,1014.1,1011.8,125.0,270.9,64.0,1.06,82,2.9,25,7,20,0,,0.0,0.0,0.0,0.0,1,24.3,42.6,1,3600.0,25.2,26.8,25.1,21.3
