source_api,model,run_time_utc,run_time,target_time_utc,target_time,lead_hours,temperature_2m,relative_humidity_2m,dewpoint_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weathercode,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit
single_runs_api,ncep_hrrr_conus,2025-09-29 00:00:00,2025-09-28 19:00:00,2025-09-29 05:00:00,2025-09-29 00:00:00,5,22.4,53,12.3,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.1,1013.8,0,0,0,0,37500.0,0.0,0.02,1.27
single_runs_api,ncep_hrrr_conus,2025-09-29 00:00:00,2025-09-28 19:00:00,2025-09-29 06:00:00,2025-09-29 01:00:00,6,21.5,58,12.9,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1013.6,1,0,0,1,33000.0,0.0,0.01,1.08
single_runs_api,ncep_hrrr_conus,2025-09-29 03:00:00,2025-09-28 22:00:00,2025-09-29 05:00:00,2025-09-29 00:00:00,2,21.0,69,15.1,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,1014.2,0,0,0,0,25300.0,0.0,0.03,0.77
single_runs_api,ncep_hrrr_conus,2025-09-29 03:00:00,2025-09-28 22:00:00,2025-09-29 06:00:00,2025-09-29 01:00:00,3,20.4,72,15.2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,1014.2,0,0,0,0,23800.0,0.0,0.02,0.67
single_runs_api,ncep_hrrr_conus,2025-09-29 03:00:00,2025-09-28 22:00:00,2025-09-29 07:00:00,2025-09-29 02:00:00,4,19.9,70,14.3,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.7,1014.3,0,0,0,0,24700.0,0.0,0.01,0.7
single_runs_api,ncep_hrrr_conus,2025-09-29 03:00:00,2025-09-28 22:00:00,2025-09-29 08:00:00,2025-09-29 03:00:00,5,19.4,72,14.2,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.2,1014.8,0,0,0,0,23700.0,0.0,0.01,0.63
single_runs_api,ncep_hrrr_conus,2025-09-29 03:00:00,2025-09-28 22:00:00,2025-09-29 09:00:00,2025-09-29 04:00:00,6,18.4,81,15.1,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.1,1014.7,1,1,0,0,18700.0,0.0,0.01,0.4
single_runs_api,ncep_hrrr_conus,2025-09-29 06:00:00,2025-09-29 01:00:00,2025-09-29 07:00:00,2025-09-29 02:00:00,1,20.4,76,16.1,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.9,1013.5,0,0,0,0,21300.0,-0.0,0.0,0.58
single_runs_api,ncep_hrrr_conus,2025-09-29 06:00:00,2025-09-29 01:00:00,2025-09-29 08:00:00,2025-09-29 03:00:00,2,19.5,75,15.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1013.6,0,0,0,0,21800.0,0.0,0.01,0.57
single_runs_api,ncep_hrrr_conus,2025-09-29 06:00:00,2025-09-29 01:00:00,2025-09-29 09:00:00,2025-09-29 04:00:00,3,19.3,72,14.2,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.8,1013.4,0,0,0,0,23500.0,-0.0,0.0,0.63
single_runs_api,ncep_hrrr_conus,2025-09-29 06:00:00,2025-09-29 01:00:00,2025-09-29 10:00:00,2025-09-29 05:00:00,4,18.4,77,14.3,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1014.6,0,0,0,0,21200.0,0.0,0.01,0.49
