source_api,time,temperature_2m,relative_humidity_2m,dewpoint_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weathercode,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit
historical_forecast_api,2025-07-01 00:00:00,27.5,86,25.0,33.7,18,0.0,0.0,0.0,0.0,0.0,2,1009.3,1004.0,50,0,8,43,24140.0,0.02,0.0,0.51
historical_forecast_api,2025-07-01 01:00:00,27.3,88,25.1,33.5,11,0.0,0.0,0.0,0.0,0.0,3,1009.2,1003.9,100,0,0,100,24140.0,0.02,0.0,0.43
historical_forecast_api,2025-07-01 02:00:00,26.9,91,25.3,33.4,6,0.0,0.0,0.0,0.0,0.0,3,1008.8,1003.5,56,0,11,47,24140.0,0.02,0.0,0.32
historical_forecast_api,2025-07-01 03:00:00,26.7,92,25.3,33.3,7,0.0,0.0,0.0,0.0,0.0,3,1008.5,1003.2,100,0,0,100,24140.0,0.01,0.0,0.28
historical_forecast_api,2025-07-01 04:00:00,26.5,92,25.1,33.0,11,0.0,0.0,0.0,0.0,0.0,3,1008.4,1003.1,100,0,10,100,24140.0,0.01,0.0,0.28
historical_forecast_api,2025-07-01 05:00:00,26.4,93,25.1,32.9,13,0.0,0.0,0.0,0.0,0.0,3,1008.3,1003.0,100,0,0,100,24140.0,0.01,0.0,0.24
historical_forecast_api,2025-07-01 06:00:00,26.4,93,25.1,32.9,8,0.0,0.0,0.0,0.0,0.0,3,1008.9,1003.6,100,0,0,100,24140.0,0.01,0.0,0.24
historical_forecast_api,2025-07-01 07:00:00,26.1,94,25.1,32.7,0,0.0,0.0,0.0,0.0,0.0,3,1008.8,1003.5,94,0,3,91,24140.0,-0.0,0.0,0.2
historical_forecast_api,2025-07-01 08:00:00,26.4,94,25.4,33.2,0,0.0,0.0,0.0,0.0,0.0,1,1009.2,1003.9,100,0,0,100,24140.0,0.01,0.03,0.21
historical_forecast_api,2025-07-01 09:00:00,27.7,87,25.4,34.4,13,0.0,0.0,0.0,0.0,0.0,3,1009.7,1004.4,100,3,0,100,24140.0,0.05,0.15,0.48
historical_forecast_api,2025-07-01 10:00:00,29.1,78,24.9,35.1,33,0.0,0.0,0.0,0.0,0.0,3,1009.6,1004.4,100,43,0,100,24140.0,0.16,0.28,0.89
historical_forecast_api,2025-07-01 11:00:00,30.4,68,23.8,35.3,52,0.0,0.0,0.0,0.0,0.0,3,1009.9,1004.7,97,47,0,91,24140.0,0.25,0.38,1.39
historical_forecast_api,2025-07-01 12:00:00,31.2,63,23.3,36.3,69,0.1,0.0,0.1,0.0,0.0,3,1009.5,1004.3,88,44,33,67,24140.0,0.34,0.5,1.68
