source_api,time,temperature_2m,relative_humidity_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weathercode,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m
historical_weather_api,2025-07-01 00:00:00,26.2,89,24.1,32.0,0.0,0.0,0.0,0.0,2,1009.7,1004.4,79,1,1,79,0.0,0.39,2.6,10.7,115,138,4.7
historical_weather_api,2025-07-01 01:00:00,26.0,90,24.1,31.9,0.0,0.0,0.0,0.0,2,1009.6,1004.3,69,0,1,69,0.0,0.34,1.5,9.0,120,143,4.3
historical_weather_api,2025-07-01 02:00:00,25.5,91,24.0,31.4,0.0,0.0,0.0,0.0,2,1009.4,1004.1,74,0,1,74,0.0,0.28,1.9,9.3,107,140,3.2
historical_weather_api,2025-07-01 03:00:00,25.1,93,24.0,30.9,0.0,0.0,0.0,0.0,3,1008.9,1003.6,92,0,5,92,0.0,0.21,1.9,8.3,73,134,3.2
historical_weather_api,2025-07-01 04:00:00,24.8,95,23.9,30.6,0.0,0.0,0.0,0.0,3,1008.7,1003.4,92,0,0,92,0.0,0.15,1.3,8.1,106,152,3.2
historical_weather_api,2025-07-01 05:00:00,24.5,97,23.9,30.3,0.0,0.0,0.0,0.0,3,1008.6,1003.3,100,0,1,100,0.0,0.1,1.4,8.6,130,160,2.9
historical_weather_api,2025-07-01 06:00:00,24.4,97,24.0,30.2,0.0,0.0,0.0,0.0,2,1008.8,1003.5,57,0,0,57,0.0,0.08,1.5,9.2,144,163,2.9
historical_weather_api,2025-07-01 07:00:00,24.2,98,23.9,30.1,0.0,0.0,0.0,0.0,3,1008.9,1003.6,100,0,5,100,0.0,0.06,1.5,9.1,126,162,3.2
historical_weather_api,2025-07-01 08:00:00,25.8,95,25.0,31.9,0.0,0.0,0.0,0.0,0,1009.1,1003.8,15,0,0,15,0.03,0.16,4.1,9.1,75,166,8.3
historical_weather_api,2025-07-01 09:00:00,28.8,83,25.6,35.4,0.0,0.0,0.0,0.0,3,1010.0,1004.8,85,1,0,84,0.16,0.67,3.6,7.0,123,134,11.9
historical_weather_api,2025-07-01 10:00:00,30.4,70,24.4,35.9,0.0,0.0,0.0,0.0,1,1010.1,1004.9,24,5,11,11,0.33,1.29,5.7,7.8,171,171,16.6
historical_weather_api,2025-07-01 11:00:00,30.8,67,24.0,35.5,0.4,0.4,0.0,0.0,51,1010.1,1004.9,38,24,30,0,0.43,1.45,9.4,12.8,191,191,22.7
historical_weather_api,2025-07-01 12:00:00,31.2,65,23.9,36.7,0.6,0.6,0.0,0.0,53,1009.6,1004.4,16,7,7,3,0.52,1.59,9.2,12.8,179,182,24.8
historical_weather_api,2025-07-01 13:00:00,32.2,61,23.8,38.4,0.0,0.0,0.0,0.0,0,1008.9,1003.7,15,11,9,1,0.64,1.86,9.4,13.1,188,189,25.9
historical_weather_api,2025-07-01 14:00:00,32.5,60,23.5,38.6,0.0,0.0,0.0,0.0,0,1008.5,1003.3,19,11,10,3,0.65,1.97,9.6,13.4,196,200,27.0
historical_weather_api,2025-07-01 15:00:00,32.7,58,23.3,38.3,0.0,0.0,0.0,0.0,0,1007.6,1002.4,14,4,3,7,0.59,2.07,8.0,11.0,200,204,25.6
historical_weather_api,2025-07-01 16:00:00,32.2,57,22.6,37.0,0.4,0.4,0.0,0.0,51,1006.8,1001.6,34,21,26,1,0.53,2.07,8.5,12.1,208,208,23.8
historical_weather_api,2025-07-01 17:00:00,31.5,61,23.0,35.9,0.2,0.2,0.0,0.0,51,1006.6,1001.4,18,8,12,0,0.39,1.83,7.9,11.5,201,202,22.7
historical_weather_api,2025-07-01 18:00:00,30.9,63,23.0,35.2,0.0,0.0,0.0,0.0,0,1006.8,1001.6,6,3,4,0,0.23,1.65,7.3,12.0,197,196,20.2
historical_weather_api,2025-07-01 19:00:00,29.6,68,23.0,34.3,0.0,0.0,0.0,0.0,0,1006.9,1001.7,8,0,6,2,0.08,1.33,5.3,12.7,192,186,17.3
historical_weather_api,2025-07-01 20:00:00,28.2,76,23.6,33.4,0.0,0.0,0.0,0.0,0,1007.6,1002.4,17,0,4,13,0.03,0.91,4.7,12.5,180,173,10.4
historical_weather_api,2025-07-01 21:00:00,28.3,76,23.6,33.6,0.0,0.0,0.0,0.0,1,1008.9,1003.7,26,0,4,23,0.0,0.93,3.7,12.6,145,155,6.5
historical_weather_api,2025-07-01 22:00:00,27.7,79,23.8,33.0,0.0,0.0,0.0,0.0,1,1009.8,1004.5,31,0,2,29,0.0,0.77,4.3,12.9,114,138,6.8
historical_weather_api,2025-07-01 23:00:00,27.4,81,23.9,32.7,0.0,0.0,0.0,0.0,2,1009.9,1004.6,67,0,1,67,0.0,0.68,4.5,13.9,127,131,7.2
historical_weather_api,2025-07-02 00:00:00,27.0,82,23.6,32.1,0.0,0.0,0.0,0.0,3,1010.0,1004.7,100,0,2,100,0.01,0.65,5.5,16.1,126,122,9.4
